query,title,source,published,link
"""Reallabor"" Wuppertal","Reallabore - Perspektiven für ein Forschungsformat im Aufwind - Wuppertal Institut für Klima, Umwelt, Energie","Wuppertal Institut für Klima, Umwelt, Energie","Tue, 18 Jun 2019 07:00:00 GMT",https://news.google.com/rss/articles/CBMiUkFVX3lxTFBnbDBzMVhXZ2ZKZzI1cUdaQTFGTVRianMwbmhyVVNJMlM0dWFsYkZYcmVzd016Q1VLVFBvMHFuR0pnZzdoMkVfb0kyY01yeFVTdWc?oc=5
"""Reallabor"" Wuppertal","Nachwuchsgruppe zu Urbaner Sharing Economy gestartet - Wuppertal Institut für Klima, Umwelt, Energie","Wuppertal Institut für Klima, Umwelt, Energie","Fri, 14 Jul 2017 07:00:00 GMT",https://news.google.com/rss/articles/CBMiUkFVX3lxTFBHcDkyMHViR2NFZWszLXVraFNWaURTSUIwVTRDdG45SkRfZlJYTXJZY2hUOWtpRi1sZk83T0FQSk52ZE1kOG41dFRoM1o0RDRXMFE?oc=5
"""Reallabor"" Wuppertal","Große Wertschätzung für Institutsarbeit - Wuppertal Institut für Klima, Umwelt, Energie","Wuppertal Institut für Klima, Umwelt, Energie","Thu, 03 May 2018 07:00:00 GMT",https://news.google.com/rss/articles/CBMiUkFVX3lxTE5RNjR4alN4eUlkZUQwTEt0MnhoT1o4bFJpR3JndlNIaVBNTFd4akpzdDc2VERIQ1JQMmJ3S3llWkRwd1lOeU90MHVQNi1tdVg2Unc?oc=5
"""Reallabor"" Wuppertal","Erster ""Journalist in Residence"" am Wuppertal Institut - Wuppertal Institut für Klima, Umwelt, Energie","Wuppertal Institut für Klima, Umwelt, Energie","Fri, 28 Sep 2018 07:00:00 GMT",https://news.google.com/rss/articles/CBMiUkFVX3lxTE9odWFVNlZxc3RvOUJtc3hQc0xTWERKS3BLaWZtRkRaWXg2V3VId3JGSGhFUXVvVi1HSVp4eTZYWXlUbHNNTzhEMjN6c2kwMlU4ZGc?oc=5
"""Reallabor"" Wuppertal","Forschung aktiv in die Transformation zu einer nachhaltigen Entwicklung einbringen - Wuppertal Institut für Klima, Umwelt, Energie","Wuppertal Institut für Klima, Umwelt, Energie","Sat, 10 Sep 2016 07:00:00 GMT",https://news.google.com/rss/articles/CBMiUkFVX3lxTE1LMC1KMWlyY3BTakh0UXFMWGcyalhVVkpKR2pRel9paXluU3NPUC1wa2FmLXpxbDFyU2cxYnJwNUFLRkJ3XzVSUlpIakZCRW9GelE?oc=5
"""Reallabor"" Karlsruhe",Verwaltungshochschule Kehl und Stadtverwaltung Karlsruhe streben neue Form der Kooperation an - staatsanzeiger.de,staatsanzeiger.de,"Wed, 12 Feb 2025 08:00:00 GMT",https://news.google.com/rss/articles/CBMirgFBVV95cUxPVXh6X1drZl9QN0RpZnU0NkV5b0Npb2VxZ1ppZWM4dkoyelZPbjRSWXJCWDBCVjFaSnJlNHNYSlNsU2s2eUJBN0ZET3B2SUxKcFJiVEdlSE14MGZxVHFGRjZNS0REbnUweE9QUG5VV2FnWmdYSnFNQ09hcnE5VWlRRGE2YzEtTFh1NldSWWo0bHNnRmJwbl9XcVNtbElWeDc4MGszM0NNSmw0TnRncFE?oc=5
"""Reallabor"" Karlsruhe",Forschung und Entwicklung - Baden-Württemberg setzt auf Innovationen dank Reallaboren - Wissen - SZ.de,SZ.de,"Sun, 10 Nov 2024 08:00:00 GMT",https://news.google.com/rss/articles/CBMi_gFBVV95cUxPbGNwVnlPaWx5MEd1VUNuelllQTRqelE3U294ZGVieWRjM0FGZWZrMWtFaENsR3dFZjFxRnZQSjNfRE1MZXYybExCM2NtZkp6RXIxZDJjcXcySlNGZmNMQVlsbTcxUzNqMml0YkpMbnNXcnUzZjN1TC1zdTQ5U0dya002RF9JYnJ0ZlRmT2JKUjlmVHBEcmU2QzJSbzhUZXFKMWFLQTZDSks4QklQVmJ1bjNveEtiSFVGN3V6b3NmbkR4Rk54YjA2SklZVkcyRHhmOWR3a2x3ZHhfTWtuTFFOTEt3TnkzSF9QYmpFU1ZwVkVreTZhM1prRlJCVXZLQQ?oc=5
"""Reallabor"" Karlsruhe","Reallabor gewinnt Forschungspreis ""Transformative Wissenschaft"" - Wuppertal Institut für Klima, Umwelt, Energie","Wuppertal Institut für Klima, Umwelt, Energie","Fri, 30 Nov 2018 08:00:00 GMT",https://news.google.com/rss/articles/CBMiUkFVX3lxTE9POHVpb2NTT0d0dWFjWFhlNmhTZHRJR1AxNHIyb1FUQmd1UlhIYU12V2hZZzdXLTRYQS1XempPZmlRS1VpRnh2dGlfLXA4WlVGNWc?oc=5
"""Reallabor"" Karlsruhe",Am KIT entsteht ein Reallabor für Künstliche Intelligenz - Baden TV,Baden TV,"Tue, 08 Dec 2020 08:00:00 GMT",https://news.google.com/rss/articles/CBMilAFBVV95cUxPZTR4TW01eDZxeW1OM3FDV0QyQkE0LWtfZ0UxSXNOTEJndlFVWmpwaFdUSXh4Q3RtbTZqN0xHbU1nRkxmT0NCemM5d1BrVDFEWTVnYUYySjVkQlJzdHZ5NVo5Slh5ZjlWX1JtbzJ0YUl4Sm4xYnRXN0tnSW9aU01aVC1iMTBUVC1wVG5kdHlxYmN6OTRv?oc=5
"""Reallabor"" Karlsruhe",Halbzeitbilanz & erste Erkenntnisse zum Reallabor in der Karlsruher Karlstraße - meinKA,meinKA,"Mon, 05 Sep 2022 07:00:00 GMT",https://news.google.com/rss/articles/CBMinAFBVV95cUxPamRsemxqdmlzdVJXSTQ1dk55dmJGc2taRkFlMjlFenBndHpxZ01TQ0FUaXdYTlhRTlBHalEwc3ltXzNqYmE5WDAzb0R1M0NWejB0RjlUVHdhZ055QU1xM20wMXZQRnc4bGw1dTZlZXFfeUVDTzhpTGgyTWlsQzNUXzBOeVAtM1ZITHh3Q1pJNU1JN1R4ZFItS2dhUUk?oc=5
